T,U,p,t,x
400.0,0.0,25000.0,0.0,4.995
400.0,0.0,25000.0,0.0,4.985
400.0,0.0,25000.0,0.0,4.975
400.0,0.0,25000.0,0.0,4.965
400.0,0.0,25000.0,0.0,4.955
400.0,0.0,25000.0,0.0,4.945
400.0,0.0,25000.0,0.0,4.935
400.0,0.0,25000.0,0.0,4.925
400.0,0.0,25000.0,0.0,4.915
400.0,0.0,25000.0,0.0,4.905
400.0,0.0,25000.0,0.0,4.895
400.0,0.0,25000.0,0.0,4.885
400.0,0.0,25000.0,0.0,4.875
400.0,0.0,25000.0,0.0,4.865
400.0,0.0,25000.0,0.0,4.855
400.0,0.0,25000.0,0.0,4.845
400.0,0.0,25000.0,0.0,4.835
400.0,0.0,25000.0,0.0,4.825
400.0,0.0,25000.0,0.0,4.815
400.0,0.0,25000.0,0.0,4.805
400.0,0.0,25000.0,0.0,4.795
400.0,0.0,25000.0,0.0,4.785
400.0,0.0,25000.0,0.0,4.775
400.0,0.0,25000.0,0.0,4.765
400.0,0.0,25000.0,0.0,4.755
400.0,0.0,25000.0,0.0,4.745
400.0,0.0,25000.0,0.0,4.735
400.0,0.0,25000.0,0.0,4.725
400.0,0.0,25000.0,0.0,4.715
400.0,0.0,25000.0,0.0,4.705
400.0,0.0,25000.0,0.0,4.695
400.0,0.0,25000.0,0.0,4.685
400.0,0.0,25000.0,0.0,4.675
400.0,0.0,25000.0,0.0,4.665
400.0,0.0,25000.0,0.0,4.655
400.0,0.0,25000.0,0.0,4.645
400.0,0.0,25000.0,0.0,4.635
400.0,0.0,25000.0,0.0,4.625
400.0,0.0,25000.0,0.0,4.615
400.0,0.0,25000.0,0.0,4.605
400.0,0.0,25000.0,0.0,4.595
400.0,0.0,25000.0,0.0,4.585
400.0,0.0,25000.0,0.0,4.575
400.0,0.0,25000.0,0.0,4.565
400.0,0.0,25000.0,0.0,4.555
400.0,0.0,25000.0,0.0,4.545
400.0,0.0,25000.0,0.0,4.535
400.0,0.0,25000.0,0.0,4.525
400.0,0.0,25000.0,0.0,4.515
400.0,0.0,25000.0,0.0,4.505
400.0,0.0,25000.0,0.0,4.495
400.0,0.0,25000.0,0.0,4.485
400.0,0.0,25000.0,0.0,4.475
400.0,0.0,25000.0,0.0,4.465
400.0,0.0,25000.0,0.0,4.455
400.0,0.0,25000.0,0.0,4.445
400.0,0.0,25000.0,0.0,4.435
400.0,0.0,25000.0,0.0,4.425
400.0,0.0,25000.0,0.0,4.415
400.0,0.0,25000.0,0.0,4.405
400.0,0.0,25000.0,0.0,4.395
400.0,0.0,25000.0,0.0,4.385
400.0,0.0,25000.0,0.0,4.375
400.0,0.0,25000.0,0.0,4.365
400.0,0.0,25000.0,0.0,4.355
400.0,0.0,25000.0,0.0,4.345
400.0,0.0,25000.0,0.0,4.335
400.0,0.0,25000.0,0.0,4.325
400.0,0.0,25000.0,0.0,4.315
400.0,0.0,25000.0,0.0,4.305
400.0,0.0,25000.0,0.0,4.295
400.0,0.0,25000.0,0.0,4.285
400.0,0.0,25000.0,0.0,4.275
400.0,0.0,25000.0,0.0,4.265
400.0,0.0,25000.0,0.0,4.255
400.0,0.0,25000.0,0.0,4.245
400.0,0.0,25000.0,0.0,4.235
400.0,0.0,25000.0,0.0,4.225
400.0,0.0,25000.0,0.0,4.215
400.0,0.0,25000.0,0.0,4.205
400.0,0.0,25000.0,0.0,4.195
400.0,0.0,25000.0,0.0,4.185
400.0,0.0,25000.0,0.0,4.175
400.0,0.0,25000.0,0.0,4.165
400.0,0.0,25000.0,0.0,4.155
400.0,0.0,25000.0,0.0,4.145
400.0,0.0,25000.0,0.0,4.135
400.0,0.0,25000.0,0.0,4.125
400.0,0.0,25000.0,0.0,4.115
400.0,0.0,25000.0,0.0,4.105
400.0,0.0,25000.0,0.0,4.095
400.0,0.0,25000.0,0.0,4.085
400.0,0.0,25000.0,0.0,4.075
