T,U,p,t,x
300.0,0.0,5000000.0,0.0,0.995
300.0,0.0,5000000.0,0.0,0.985
300.0,0.0,5000000.0,0.0,0.975
300.0,0.0,5000000.0,0.0,0.965
300.0,0.0,5000000.0,0.0,0.955
300.0,0.0,5000000.0,0.0,0.945
300.0,0.0,5000000.0,0.0,0.935
300.0,0.0,5000000.0,0.0,0.925
300.0,0.0,5000000.0,0.0,0.915
300.0,0.0,5000000.0,0.0,0.905
300.0,0.0,5000000.0,0.0,0.895
300.0,0.0,5000000.0,0.0,0.885
300.0,0.0,5000000.0,0.0,0.875
300.0,0.0,5000000.0,0.0,0.865
300.0,0.0,5000000.0,0.0,0.855
300.0,0.0,5000000.0,0.0,0.845
300.0,0.0,5000000.0,0.0,0.835
300.0,0.0,5000000.0,0.0,0.825
300.0,0.0,5000000.0,0.0,0.815
300.0,0.0,5000000.0,0.0,0.805
300.0,0.0,5000000.0,0.0,0.795
300.0,0.0,5000000.0,0.0,0.785
300.0,0.0,5000000.0,0.0,0.775
300.0,0.0,5000000.0,0.0,0.765
300.0,0.0,5000000.0,0.0,0.755
300.0,0.0,5000000.0,0.0,0.745
300.0,0.0,5000000.0,0.0,0.735
300.0,0.0,5000000.0,0.0,0.725
300.0,0.0,5000000.0,0.0,0.715
300.0,0.0,5000000.0,0.0,0.705
300.0,0.0,5000000.0,0.0,0.695
300.0,0.0,5000000.0,0.0,0.685
300.0,0.0,5000000.0,0.0,0.675
300.0,0.0,5000000.0,0.0,0.665
300.0,0.0,5000000.0,0.0,0.655
300.0,0.0,5000000.0,0.0,0.645
300.0,0.0,5000000.0,0.0,0.635
300.0,0.0,5000000.0,0.0,0.625
300.0,0.0,5000000.0,0.0,0.615
300.0,0.0,5000000.0,0.0,0.605
300.0,0.0,5000000.0,0.0,0.595
300.0,0.0,5000000.0,0.0,0.585
300.0,0.0,5000000.0,0.0,0.575
300.0,0.0,5000000.0,0.0,0.565
300.0,0.0,5000000.0,0.0,0.555
300.0,0.0,5000000.0,0.0,0.545
300.0,0.0,5000000.0,0.0,0.535
300.0,0.0,5000000.0,0.0,0.525
300.0,0.0,5000000.0,0.0,0.515
300.0,0.0,5000000.0,0.0,0.505
300.0,0.0,5000000.0,0.0,0.495
300.0,0.0,5000000.0,0.0,0.485
300.0,0.0,5000000.0,0.0,0.475
300.0,0.0,5000000.0,0.0,0.465
300.0,0.0,5000000.0,0.0,0.455
300.0,0.0,5000000.0,0.0,0.445
300.0,0.0,5000000.0,0.0,0.435
300.0,0.0,5000000.0,0.0,0.425
300.0,0.0,5000000.0,0.0,0.415
300.0,0.0,5000000.0,0.0,0.405
300.0,0.0,5000000.0,0.0,0.395
300.0,0.0,5000000.0,0.0,0.385
300.0,0.0,5000000.0,0.0,0.375
300.0,0.0,5000000.0,0.0,0.365
300.0,0.0,5000000.0,0.0,0.355
300.0,0.0,5000000.0,0.0,0.345
300.0,0.0,5000000.0,0.0,0.335
300.0,0.0,5000000.0,0.0,0.325
300.0,0.0,5000000.0,0.0,0.315
300.0,0.0,5000000.0,0.0,0.305
300.0,0.0,5000000.0,0.0,0.295
300.0,0.0,5000000.0,0.0,0.285
300.0,0.0,5000000.0,0.0,0.275
300.0,0.0,5000000.0,0.0,0.265
300.0,0.0,5000000.0,0.0,0.255
300.0,0.0,5000000.0,0.0,0.245
300.0,0.0,5000000.0,0.0,0.235
300.0,0.0,5000000.0,0.0,0.225
300.0,0.0,5000000.0,0.0,0.215
300.0,0.0,5000000.0,0.0,0.205
300.0,0.0,5000000.0,0.0,0.195
300.0,0.0,5000000.0,0.0,0.185
300.0,0.0,5000000.0,0.0,0.175
300.0,0.0,5000000.0,0.0,0.165
300.0,0.0,5000000.0,0.0,0.155
300.0,0.0,5000000.0,0.0,0.145
300.0,0.0,5000000.0,0.0,0.135
300.0,0.0,5000000.0,0.0,0.125
300.0,0.0,5000000.0,0.0,0.115
300.0,0.0,5000000.0,0.0,0.105
300.0,0.0,5000000.0,0.0,0.095
300.0,0.0,5000000.0,0.0,0.085
300.0,0.0,5000000.0,0.0,0.075
300.0,0.0,5000000.0,0.0,0.065
300.0,0.0,5000000.0,0.0,0.055
300.0,0.0,5000000.0,0.0,0.045
300.0,0.0,5000000.0,0.0,0.035
300.0,0.0,5000000.0,0.0,0.025
300.0,0.0,5000000.0,0.0,0.015
300.0,0.0,5000000.0,0.0,0.005
300.0,0.0,10000000.0,0.0,-0.005
300.0,0.0,10000000.0,0.0,-0.015
300.0,0.0,10000000.0,0.0,-0.025
300.0,0.0,10000000.0,0.0,-0.035
300.0,0.0,10000000.0,0.0,-0.045
300.0,0.0,10000000.0,0.0,-0.055
300.0,0.0,10000000.0,0.0,-0.065
300.0,0.0,10000000.0,0.0,-0.075
300.0,0.0,10000000.0,0.0,-0.085
300.0,0.0,10000000.0,0.0,-0.095
300.0,0.0,10000000.0,0.0,-0.105
300.0,0.0,10000000.0,0.0,-0.115
300.0,0.0,10000000.0,0.0,-0.125
300.0,0.0,10000000.0,0.0,-0.135
300.0,0.0,10000000.0,0.0,-0.145
300.0,0.0,10000000.0,0.0,-0.155
300.0,0.0,10000000.0,0.0,-0.165
300.0,0.0,10000000.0,0.0,-0.175
300.0,0.0,10000000.0,0.0,-0.185
300.0,0.0,10000000.0,0.0,-0.195
300.0,0.0,10000000.0,0.0,-0.205
300.0,0.0,10000000.0,0.0,-0.215
300.0,0.0,10000000.0,0.0,-0.225
300.0,0.0,10000000.0,0.0,-0.235
300.0,0.0,10000000.0,0.0,-0.245
300.0,0.0,10000000.0,0.0,-0.255
300.0,0.0,10000000.0,0.0,-0.265
300.0,0.0,10000000.0,0.0,-0.275
300.0,0.0,10000000.0,0.0,-0.285
300.0,0.0,10000000.0,0.0,-0.295
300.0,0.0,10000000.0,0.0,-0.305
300.0,0.0,10000000.0,0.0,-0.315
300.0,0.0,10000000.0,0.0,-0.325
300.0,0.0,10000000.0,0.0,-0.335
300.0,0.0,10000000.0,0.0,-0.345
300.0,0.0,10000000.0,0.0,-0.355
300.0,0.0,10000000.0,0.0,-0.365
300.0,0.0,10000000.0,0.0,-0.375
300.0,0.0,10000000.0,0.0,-0.385
300.0,0.0,10000000.0,0.0,-0.395
300.0,0.0,10000000.0,0.0,-0.405
300.0,0.0,10000000.0,0.0,-0.415
300.0,0.0,10000000.0,0.0,-0.425
300.0,0.0,10000000.0,0.0,-0.435
300.0,0.0,10000000.0,0.0,-0.445
300.0,0.0,10000000.0,0.0,-0.455
300.0,0.0,10000000.0,0.0,-0.465
300.0,0.0,10000000.0,0.0,-0.475
300.0,0.0,10000000.0,0.0,-0.485
300.0,0.0,10000000.0,0.0,-0.495
300.0,0.0,10000000.0,0.0,-0.505
